epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.839,1.71543,1.16489,1.13303,0.80585,0.71835,0.79759,0.45601,1.53106,0.83201,1.04714,0.000666018,0.000666018,0.000666018
2,914.115,1.54914,0.82735,1.06439,0.83483,0.74523,0.82692,0.49084,1.46511,0.7631,1.0254,0.00120075,0.00120075,0.00120075
3,1362.8,1.5104,0.78876,1.04709,0.83901,0.75591,0.83024,0.49561,1.46294,0.73349,1.02657,0.00160348,0.00160348,0.00160348
4,1814.31,1.49147,0.76141,1.03812,0.85787,0.75675,0.8407,0.50958,1.43312,0.71739,1.01174,0.001406,0.001406,0.001406
5,2261.26,1.46265,0.7345,1.02635,0.86385,0.77881,0.85578,0.52294,1.40465,0.6916,1.0023,0.001208,0.001208,0.001208
6,2709.99,1.4475,0.71725,1.02002,0.86839,0.78563,0.86293,0.53048,1.39795,0.67013,0.99821,0.00101,0.00101,0.00101
7,3159.6,1.43121,0.70022,1.01393,0.87171,0.78177,0.86075,0.53154,1.39133,0.67111,0.99737,0.000812,0.000812,0.000812
8,3609.51,1.42032,0.68659,1.00866,0.87525,0.79075,0.86831,0.53862,1.38053,0.64999,0.99309,0.000614,0.000614,0.000614
9,4062.34,1.40645,0.67266,1.00256,0.88119,0.79879,0.87367,0.545,1.36531,0.64241,0.9863,0.000416,0.000416,0.000416
10,4514.42,1.39514,0.66204,0.99756,0.88337,0.80363,0.87778,0.54861,1.36317,0.63214,0.98349,0.000218,0.000218,0.000218
