epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.931,1.81007,4.09509,1.71659,0.3092,0.44444,0.33802,0.16694,1.54585,8.80836,1.44927,0.00016,0.00016,0.00016
2,22.9972,1.60704,2.13297,1.34544,0.16924,0.5,0.13839,0.05419,1.8974,6.12121,1.85201,0.000337756,0.000337756,0.000337756
3,31.1626,1.5312,1.55181,1.36592,0.00919,0.52778,0.00778,0.00331,2.29994,nan,3.43381,0.000513136,0.000513136,0.000513136
4,39.0725,1.59355,1.4889,1.45417,0.00086,0.13889,0.00044,0.00014,3.2145,nan,16.621,0.00068614,0.00068614,0.00068614
5,47.6412,1.82232,1.5791,1.60985,0,0,0,0,nan,nan,nan,0.000856768,0.000856768,0.000856768
6,56.0573,1.73583,1.7208,1.61754,0,0,0,0,nan,nan,nan,0.00102502,0.00102502,0.00102502
7,65.0375,1.8663,1.68357,1.72565,0,0,0,0,nan,nan,nan,0.0011909,0.0011909,0.0011909
8,73.3217,1.88911,1.70451,1.71746,0,0,0,0,nan,nan,nan,0.0013544,0.0013544,0.0013544
9,81.3526,1.68743,1.58223,1.59769,0,0,0,0,nan,nan,nan,0.00151552,0.00151552,0.00151552
10,89.7409,1.8082,1.54594,1.61972,0,0,0,0,nan,nan,nan,0.00167427,0.00167427,0.00167427
11,97.8556,1.92463,1.62302,1.71552,0,0,0,0,nan,nan,nan,0.00183064,0.00183064,0.00183064
12,106.154,1.78092,1.45535,1.60663,0,0,0,0,nan,nan,nan,0.0018548,0.0018548,0.0018548
13,114.263,1.83106,1.49457,1.56928,0,0,0,0,nan,nan,nan,0.0018416,0.0018416,0.0018416
14,122.1,1.82346,1.43597,1.66677,0,0,0,0,nan,nan,nan,0.0018284,0.0018284,0.0018284
15,130.172,1.84386,1.40389,1.61751,0,0,0,0,nan,nan,nan,0.0018152,0.0018152,0.0018152
16,138.3,1.77675,1.42392,1.61659,0,0,0,0,nan,nan,nan,0.001802,0.001802,0.001802
17,146.533,1.70498,1.45462,1.56233,0,0,0,0,nan,nan,nan,0.0017888,0.0017888,0.0017888
18,154.546,1.61766,1.34313,1.51579,0.00073,0.16667,0.00042,0.00011,3.87824,inf,12.9332,0.0017756,0.0017756,0.0017756
19,162.44,1.77094,1.30185,1.58669,0.00016,0.02778,6e-05,3e-05,nan,nan,nan,0.0017624,0.0017624,0.0017624
20,170.613,1.64777,1.23122,1.50096,0.30666,0.22222,0.14187,0.04572,2.19868,16.5099,2.41194,0.0017492,0.0017492,0.0017492
21,178.673,1.57588,1.23922,1.46029,0.48691,0.58333,0.51461,0.20457,1.90099,14.535,2.12872,0.001736,0.001736,0.001736
22,191.75,1.63031,1.245,1.50115,0.25732,0.55556,0.27789,0.09581,2.07061,7.33245,2.20903,0.0017228,0.0017228,0.0017228
23,201.938,1.51401,1.22313,1.47974,0.55639,0.62728,0.59396,0.27052,1.87721,6.17121,2.12232,0.0017096,0.0017096,0.0017096
