time,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,matricula,conf_matricula,mx1,my1,mx2,my2,OCR_Paddle,Conf_Paddle,OCR_Easy,Conf_Easy
0:31,plate,0.7309994697570801,34,711,441,808,466,plate,0.7309994697570801,711,441,808,466,3713LKC,0.9996033310890198,DU,0.0
0:30,plate,0.4162406325340271,4,926,388,1000,410,plate,0.4162406325340271,926,388,1000,410,3713LXC,0.9176093339920044,NON_DETECTION,0.0
0:41,plate,0.518100380897522,45,933,399,989,419,plate,0.518100380897522,933,399,989,419,0848MCG,0.9235370755195618,NON_DETECTION,0.0
0:51,plate,0.6385654211044312,9,900,401,964,420,plate,0.6385654211044312,900,401,964,420,6713HER,0.9565557241439819,NON_DETECTION,0.0
0:51,plate,0.6505434513092041,54,840,410,919,435,plate,0.6505434513092041,840,410,919,435,6713HCP,0.9834375381469727,NON_DETECTION,0.0
0:54,plate,0.7191949486732483,60,682,451,779,480,plate,0.7191949486732483,682,451,779,480,2914FGN,0.9941502213478088,A,0.0
0:56,plate,0.43253442645072937,62,726,456,819,481,plate,0.43253442645072937,726,456,819,481,9786LCF,0.9636216759681702,MU7,0.0
0:56,plate,0.4635675847530365,62,771,441,856,467,plate,0.4635675847530365,771,441,856,467,9786LCP,0.8793632388114929,WE6,0.0
0:58,plate,0.3111962676048279,11,1288,407,1366,435,plate,0.3111962676048279,1288,407,1366,435,0053JFM,0.9588872790336609,OOBJ,0.0
1:02,plate,0.6086198091506958,13,1327,423,1395,444,plate,0.6086198091506958,1327,423,1395,444,0285FKZ,0.9748267531394958,0285617,0.0
1:02,plate,0.5272971391677856,72,1343,432,1433,457,plate,0.5272971391677856,1343,432,1433,457,0285FXZ,0.8192799687385559,028567,0.0
1:05,plate,0.5904050469398499,77,823,411,899,439,plate,0.5904050469398499,823,411,899,439,3902FXD,0.9843430519104004,E26N,0.0
1:06,plate,0.6010589599609375,80,1374,432,1452,458,plate,0.6010589599609375,1374,432,1452,458,3685KWM,0.9509958624839783,3685,0.0
1:07,plate,0.6489251255989075,80,1409,451,1505,476,plate,0.6489251255989075,1409,451,1505,476,3685KNM,0.9184702634811401,BB8N,0.0
1:08,plate,0.301192045211792,12,897,394,960,414,plate,0.301192045211792,897,394,960,414,9059LYY,0.8471848964691162,NON_DETECTION,0.0
1:11,plate,0.25287890434265137,76,901,409,966,433,plate,0.25287890434265137,901,409,966,433,8536LKJ,0.9958577752113342,BLJ,0.0
1:25,plate,0.7282071113586426,12,600,457,717,497,plate,0.7282071113586426,600,457,717,497,1770JYG,0.9901057481765747,DD,0.0
1:34,plate,0.30398568511009216,9,193,514,362,560,plate,0.30398568511009216,193,514,362,560,8098JKW,0.6466807126998901,NON_DETECTION,0.0
1:45,plate,0.5113022923469543,116,1438,606,1708,647,plate,0.5113022923469543,1438,606,1708,647,1965KBP,0.9930180907249451,1963432,0.0
1:45,plate,0.44736960530281067,118,1621,678,1904,725,plate,0.44736960530281067,1621,678,1904,725,7965KBP,0.9359344840049744,B,0.0
