frame,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,matricula,conf_matricula,mx1,my1,mx2,my2,OCR_Paddle,Conf_Paddle,OCR_Easy,Conf_Easy
1,bus,0.9592196345329285,1,1396,53,1918,477,,,,,,,,,,
1,car,0.8202279210090637,2,1318,312,1400,370,,,,,,,,,,
1,car,0.6504821181297302,3,1281,320,1326,344,,,,,,,,,,
1,car,0.6223747134208679,3,1234,315,1280,345,,,,,,,,,,
1,person,0.41677752137184143,4,974,304,1004,376,,,,,,,,,,
2,bus,0.9582628607749939,1,1394,57,1918,474,,,,,,,,,,
2,car,0.8062800168991089,2,1319,312,1398,370,,,,,,,,,,
2,car,0.6346484422683716,3,1281,319,1325,344,,,,,,,,,,
2,car,0.6321679353713989,3,1231,315,1280,344,,,,,,,,,,
2,person,0.48716267943382263,4,977,300,1007,377,,,,,,,,,,
3,bus,0.9591983556747437,1,1392,62,1918,472,,,,,,,,,,
3,car,0.7910053133964539,2,1319,312,1397,370,,,,,,,,,,
3,car,0.671999454498291,3,1230,315,1278,344,,,,,,,,,,
3,car,0.6167817711830139,3,1281,320,1324,344,,,,,,,,,,
3,person,0.5543419122695923,4,975,298,1006,375,,,,,,,,,,
4,bus,0.9505255818367004,1,1390,66,1919,473,,,,,,,,,,
4,car,0.8241004943847656,2,1317,312,1397,370,,,,,,,,,,
4,car,0.7093886137008667,3,1230,314,1276,345,,,,,,,,,,
4,person,0.64848393201828,4,977,297,1008,376,,,,,,,,,,
4,car,0.5956619381904602,5,1283,320,1324,344,,,,,,,,,,
4,car,0.37951403856277466,3,1276,320,1317,342,,,,,,,,,,
5,bus,0.9477016925811768,1,1389,71,1918,467,,,,,,,,,,
5,car,0.8387290239334106,2,1316,311,1394,370,,,,,,,,,,
5,car,0.6307570934295654,3,1232,314,1276,345,,,,,,,,,,
5,car,0.5997853875160217,3,1283,320,1323,344,,,,,,,,,,
5,motorcycle,0.2809021472930908,4,984,335,1007,377,,,,,,,,,,
5,person,0.26456841826438904,4,979,307,1008,375,,,,,,,,,,
5,car,0.2552371323108673,3,1280,317,1326,349,,,,,,,,,,
6,bus,0.9527462720870972,1,1388,75,1918,465,,,,,,,,,,
6,car,0.8342750668525696,2,1316,311,1393,370,,,,,,,,,,
6,car,0.6620540618896484,3,1232,315,1276,344,,,,,,,,,,
6,person,0.5818014740943909,4,982,297,1010,375,,,,,,,,,,
6,car,0.5394397974014282,3,1282,320,1322,344,,,,,,,,,,
7,bus,0.9554255604743958,1,1385,81,1918,464,,,,,,,,,,
7,car,0.859446108341217,2,1316,311,1392,369,,,,,,,,,,
7,car,0.6303408145904541,3,1231,314,1275,344,,,,,,,,,,
7,car,0.568109929561615,5,1283,319,1323,344,,,,,,,,,,
7,person,0.48363804817199707,4,981,297,1013,376,,,,,,,,,,
8,bus,0.9589883685112,1,1385,83,1919,462,,,,,,,,,,
8,car,0.8595490455627441,2,1316,311,1391,369,,,,,,,,,,
8,car,0.6150680780410767,3,1230,313,1275,345,,,,,,,,,,
8,car,0.5663135647773743,5,1283,319,1322,344,,,,,,,,,,
8,person,0.5124595165252686,4,982,297,1015,367,,,,,,,,,,
9,bus,0.9588438272476196,1,1383,88,1919,463,,,,,,,,,,
9,car,0.8460180163383484,2,1315,311,1388,369,,,,,,,,,,
9,car,0.641822874546051,3,1230,314,1274,345,,,,,,,,,,
9,car,0.5488226413726807,2,1283,319,1321,344,,,,,,,,,,
9,person,0.451296865940094,4,985,297,1018,373,,,,,,,,,,
10,bus,0.9544499516487122,1,1382,92,1919,460,,,,,,,,,,
10,car,0.8390904664993286,2,1313,312,1387,368,,,,,,,,,,
10,car,0.5969311594963074,3,1231,314,1273,344,,,,,,,,,,
10,car,0.5715864300727844,2,1283,320,1321,344,,,,,,,,,,
10,person,0.37176263332366943,4,987,298,1019,371,,,,,,,,,,
10,person,0.3347724974155426,4,985,298,1013,360,,,,,,,,,,
10,person,0.29059985280036926,4,974,299,993,353,,,,,,,,,,
11,bus,0.9516919851303101,1,1381,96,1919,458,,,,,,,,,,
11,car,0.8223064541816711,2,1313,312,1385,368,,,,,,,,,,
11,car,0.7112101316452026,3,1230,314,1271,344,,,,,,,,,,
11,car,0.5510515570640564,2,1283,320,1320,344,,,,,,,,,,
11,person,0.44392988085746765,4,989,298,1018,371,,,,,,,,,,
11,motorcycle,0.31000059843063354,4,991,332,1016,374,,,,,,,,,,
12,bus,0.9504029154777527,1,1380,100,1917,457,,,,,,,,,,
12,car,0.8221958875656128,2,1313,313,1383,368,,,,,,,,,,
12,car,0.7260940670967102,3,1230,314,1270,345,,,,,,,,,,
12,car,0.5397703051567078,2,1283,320,1319,344,,,,,,,,,,
12,person,0.3793204426765442,4,990,298,1021,372,,,,,,,,,,
13,bus,0.9466352462768555,1,1377,103,1912,457,,,,,,,,,,
13,car,0.8318498134613037,2,1313,313,1381,367,,,,,,,,,,
13,car,0.7057667970657349,3,1229,315,1269,345,,,,,,,,,,
13,car,0.6039460897445679,2,1283,319,1320,345,,,,,,,,,,
13,person,0.38429921865463257,4,992,300,1020,371,,,,,,,,,,
14,bus,0.9471989274024963,1,1375,107,1895,454,,,,,,,,,,
14,car,0.8176971077919006,2,1312,314,1379,366,,,,,,,,,,
14,car,0.6617994904518127,3,1229,315,1267,345,,,,,,,,,,
14,car,0.5963008999824524,2,1283,319,1319,344,,,,,,,,,,
15,bus,0.9425522089004517,1,1374,110,1880,452,,,,,,,,,,
15,car,0.8165878653526306,2,1312,314,1378,366,,,,,,,,,,
15,car,0.5892541408538818,2,1283,319,1319,344,,,,,,,,,,
15,car,0.5810210108757019,3,1228,314,1266,345,,,,,,,,,,
15,person,0.35557618737220764,4,998,303,1023,372,,,,,,,,,,
16,bus,0.9510537385940552,1,1373,113,1871,448,,,,,,,,,,
16,car,0.7960010766983032,2,1310,314,1377,366,,,,,,,,,,
16,car,0.6304935216903687,3,1227,314,1266,344,,,,,,,,,,
16,car,0.6107562780380249,2,1283,320,1320,344,,,,,,,,,,
16,person,0.3089628517627716,4,999,306,1024,372,,,,,,,,,,
16,person,0.30614519119262695,4,999,297,1029,369,,,,,,,,,,
17,bus,0.9444568157196045,1,1372,116,1863,446,,,,,,,,,,
17,car,0.7858026027679443,2,1309,314,1377,366,,,,,,,,,,
17,car,0.686127245426178,3,1227,315,1266,344,,,,,,,,,,
17,car,0.5332417488098145,2,1283,319,1319,344,,,,,,,,,,
17,person,0.38754385709762573,4,999,307,1027,372,,,,,,,,,,
18,bus,0.9463270306587219,1,1370,118,1848,444,,,,,,,,,,
18,car,0.7730501294136047,2,1308,314,1374,366,,,,,,,,,,
18,car,0.6684197783470154,3,1227,315,1266,344,,,,,,,,,,
18,car,0.46207860112190247,2,1283,318,1317,344,,,,,,,,,,
18,person,0.3119823634624481,4,1001,307,1027,372,,,,,,,,,,
19,bus,0.9497750401496887,1,1369,122,1835,444,,,,,,,,,,
19,car,0.764178991317749,2,1307,314,1374,366,,,,,,,,,,
19,car,0.6317979693412781,3,1226,314,1265,344,,,,,,,,,,
19,car,0.4722849428653717,2,1283,318,1317,344,,,,,,,,,,
20,bus,0.9579476714134216,1,1368,126,1821,442,,,,,,,,,,
20,car,0.7613447904586792,2,1308,314,1372,365,,,,,,,,,,
20,car,0.5566791892051697,3,1227,313,1264,344,,,,,,,,,,
20,car,0.4631778299808502,2,1283,318,1316,344,,,,,,,,,,
20,bus,0.28921404480934143,2,1260,303,1288,336,,,,,,,,,,
21,bus,0.9537423253059387,1,1367,128,1813,442,,,,,,,,,,
21,car,0.7485308647155762,5,1308,314,1371,365,,,,,,,,,,
21,car,0.5920820236206055,2,1226,313,1263,344,,,,,,,,,,
21,car,0.4971800148487091,5,1283,319,1315,344,,,,,,,,,,
21,person,0.3397006392478943,4,1005,319,1033,372,,,,,,,,,,
21,bus,0.2677712142467499,2,1259,303,1288,336,,,,,,,,,,
22,bus,0.9510510563850403,1,1368,131,1802,440,,,,,,,,,,
22,car,0.7420312166213989,5,1308,314,1370,365,,,,,,,,,,
22,car,0.6794059872627258,2,1225,315,1263,344,,,,,,,,,,
22,person,0.5773209929466248,4,1008,319,1030,373,,,,,,,,,,
22,car,0.5100857615470886,5,1283,319,1314,344,,,,,,,,,,
22,bus,0.32997414469718933,2,1259,303,1288,335,,,,,,,,,,
23,bus,0.9480536580085754,1,1363,134,1791,439,,,,,,,,,,
23,car,0.7779189348220825,5,1307,314,1368,365,,,,,,,,,,
23,car,0.712024450302124,2,1225,317,1263,344,,,,,,,,,,
23,car,0.5343573093414307,5,1283,319,1313,344,,,,,,,,,,
23,person,0.4426966905593872,4,1009,319,1031,372,,,,,,,,,,
23,bus,0.30137309432029724,2,1259,304,1288,335,,,,,,,,,,
24,bus,0.9495302438735962,1,1363,137,1782,438,,,,,,,,,,
24,car,0.7932552099227905,5,1306,315,1366,364,,,,,,,,,,
24,car,0.738608717918396,2,1225,318,1262,344,,,,,,,,,,
24,person,0.5569543242454529,4,1009,312,1034,372,,,,,,,,,,
24,car,0.5193418264389038,5,1283,319,1312,344,,,,,,,,,,
24,bus,0.3463808596134186,2,1259,304,1288,336,,,,,,,,,,
25,bus,0.9442949295043945,1,1363,139,1774,435,,,,,,,,,,
25,car,0.7839454412460327,5,1306,316,1366,365,,,,,,,,,,
25,car,0.7025890350341797,2,1225,319,1262,344,,,,,,,,,,
25,person,0.636081874370575,4,1011,305,1034,371,,,,,,,,,,
25,car,0.557981014251709,5,1284,322,1313,345,,,,,,,,,,
25,person,0.4856838583946228,4,980,301,996,345,,,,,,,,,,
25,bus,0.4081456661224365,2,1259,305,1290,338,,,,,,,,,,
26,bus,0.9434702396392822,1,1362,141,1766,434,,,,,,,,,,
26,car,0.7825762033462524,5,1305,317,1364,364,,,,,,,,,,
26,car,0.707794725894928,2,1226,321,1261,344,,,,,,,,,,
26,person,0.5695128440856934,4,1010,303,1036,370,,,,,,,,,,
26,car,0.5651037693023682,5,1284,323,1314,344,,,,,,,,,,
26,person,0.5001271367073059,4,979,300,997,345,,,,,,,,,,
26,bus,0.42531487345695496,2,1260,305,1289,339,,,,,,,,,,
27,bus,0.9454935789108276,1,1359,143,1756,434,,,,,,,,,,
27,car,0.7689155340194702,5,1306,317,1363,364,,,,,,,,,,
27,car,0.7008129358291626,2,1226,322,1261,344,,,,,,,,,,
27,person,0.6757999062538147,4,1012,299,1039,370,,,,,,,,,,
27,car,0.5964400172233582,5,1284,322,1314,344,,,,,,,,,,
27,person,0.5435749292373657,4,979,299,998,347,,,,,,,,,,
27,bus,0.4343907833099365,2,1259,305,1289,340,,,,,,,,,,
28,bus,0.9451638460159302,1,1359,147,1747,433,,,,,,,,,,
28,car,0.7756293416023254,5,1305,316,1361,364,,,,,,,,,,
28,car,0.684651255607605,2,1226,322,1261,344,,,,,,,,,,
28,person,0.5973777174949646,4,1012,298,1039,367,,,,,,,,,,
28,car,0.5683901906013489,5,1285,321,1314,344,,,,,,,,,,
28,person,0.47998347878456116,4,979,299,998,346,,,,,,,,,,
28,bus,0.4489983916282654,2,1260,304,1289,340,,,,,,,,,,
29,bus,0.9421482086181641,1,1357,149,1740,433,,,,,,,,,,
29,car,0.7828800082206726,5,1305,316,1360,364,,,,,,,,,,
29,car,0.6935256719589233,2,1226,322,1261,344,,,,,,,,,,
29,car,0.5380443334579468,5,1285,320,1313,344,,,,,,,,,,
29,person,0.5161967873573303,4,1013,302,1040,369,,,,,,,,,,
29,bus,0.470216304063797,2,1259,305,1289,340,,,,,,,,,,
29,person,0.4250747561454773,4,979,300,996,347,,,,,,,,,,
30,bus,0.9437167048454285,1,1355,149,1730,429,,,,,,,,,,
30,car,0.8012357950210571,5,1304,315,1359,364,,,,,,,,,,
30,car,0.6305899620056152,2,1226,322,1261,343,,,,,,,,,,
30,person,0.5478424429893494,4,1015,302,1041,368,,,,,,,,,,
30,bus,0.45124444365501404,2,1259,305,1289,339,,,,,,,,,,
30,car,0.4277709126472473,2,1286,318,1313,344,,,,,,,,,,
30,person,0.40220680832862854,4,979,299,996,345,,,,,,,,,,
31,bus,0.9420322775840759,1,1354,152,1724,429,,,,,,,,,,
31,car,0.7924750447273254,2,1304,316,1357,363,,,,,,,,,,
31,car,0.6025850176811218,3,1226,321,1261,343,,,,,,,,,,
31,car,0.47834476828575134,2,1285,318,1313,344,,,,,,,,,,
31,bus,0.4447691738605499,2,1259,304,1289,339,,,,,,,,,,
31,person,0.4068825840950012,4,1016,303,1044,370,,,,,,,,,,
31,person,0.3811315596103668,4,979,300,995,345,,,,,,,,,,
31,person,0.3533250391483307,4,982,301,998,344,,,,,,,,,,
31,person,0.2515951693058014,4,1017,320,1042,371,,,,,,,,,,
32,bus,0.9373497366905212,1,1352,154,1718,426,,,,,,,,,,
32,car,0.7929658889770508,5,1303,316,1356,363,,,,,,,,,,
32,car,0.5805409550666809,2,1226,322,1260,343,,,,,,,,,,
32,car,0.4968550205230713,5,1286,318,1313,343,,,,,,,,,,
32,bus,0.4375859797000885,2,1259,305,1289,339,,,,,,,,,,
32,person,0.43518370389938354,4,1017,304,1043,366,,,,,,,,,,
